mu,mu_0,mu_1,mu_2,sigma,sigma_0,sigma_1,sigma_2
[-1.26411930e+08  1.82986824e+08  1.55216738e+08],[-9830543.69176731 24978612.57634357],[-7950921.25525194   454877.54272796],[-1000. -1000.],"[ 8.03462342e-01 -7.21636247e-01  9.98624136e-06 -7.21636247e-01
  2.33233817e+00  1.05951162e-05  9.98624136e-06  1.05951162e-05
  1.83012629e-02]",[ 0.4193932  -0.8597827  -0.8597827   2.26381242],[ 0.42689563 -0.86178733 -0.86178733  2.25959151],[-1000.     0. -1000.     0.]
[-1.66861055e+08  2.06277926e+08  1.91378580e+08],[-10953526.33487851  27828463.62043242],[-5244459.76133802 -1739725.52552042],[-1000. -1000.],"[ 7.09045337e-01 -6.98557884e-01  3.41360954e-05 -6.98557884e-01
  2.37670967e+00  3.60946413e-05  3.41360954e-05  3.60946413e-05
  1.83012482e-02]",[ 0.41937848 -0.85974532 -0.85974532  2.26371752],[ 0.42680856 -0.86172546 -0.86172546  2.25954642],[-1000.     0. -1000.     0.]
[-2.01048219e+08  2.41223513e+08  2.32011080e+08],[-11820834.00821175  30026818.97766232],[-1328290.87582897 -4646693.59692243],[-1000. -1000.],"[ 6.81430500e-01 -6.77367955e-01  4.71231101e-05 -6.77367955e-01
  2.41796473e+00  4.84341940e-05  4.71231101e-05  4.84341940e-05
  1.83012591e-02]",[ 0.41937312 -0.85973174 -0.85973174  2.2636831 ],[ 0.42671076 -0.8616563  -0.8616563   2.25949722],[-1000.     0. -1000.     0.]
[-2.29632380e+08  2.92599103e+08  2.78779288e+08],[-12470926.12444728  31671744.53926722],[ 3417657.47290299 -8070744.21149275],[-1000. -1000.],"[ 6.91813087e-01 -6.53267525e-01 -1.44363318e-05 -6.53267525e-01
  2.44946908e+00 -4.73733432e-07 -1.44363318e-05 -4.73733432e-07
  1.83012567e-02]",[ 0.41937122 -0.85972692 -0.85972692  2.26367089],[ 0.42661957 -0.86159149 -0.86159149  2.25945113],[-1000.     0. -1000.     0.]
[-2.47377026e+08  3.66973603e+08  3.34282030e+08],[-13034580.70653133  33095930.2774222 ],[  8588857.13607012 -11816073.43110168],[-1000. -1000.],"[ 7.26297655e-01 -6.31143047e-01  2.39298804e-05 -6.31143047e-01
  2.46263663e+00  4.80854245e-06  2.39298804e-05  4.80854245e-06
  1.83012505e-02]",[ 0.41936979 -0.85972331 -0.85972331  2.26366178],[ 0.42654663 -0.86153836 -0.86153836  2.25941243],[-1000.     0. -1000.     0.]
[-2.52892124e+08  4.66476989e+08  4.01793535e+08],[-13682309.18512578  34732951.9230996 ],[ 13671600.06854036 -15653892.92615502],[-1000. -1000.],"[ 7.75076719e-01 -6.22707836e-01 -2.61480014e-05 -6.22707836e-01
  2.44769970e+00 -2.33261378e-05 -2.61480014e-05 -2.33261378e-05
  1.83012660e-02]",[ 0.41936715 -0.85971664 -0.85971664  2.26364487],[ 0.4264992  -0.86150157 -0.86150157  2.25938381],[-1000.     0. -1000.     0.]
[-2.46015582e+08  5.91254033e+08  4.85241435e+08],[-14675732.25216839  37247962.07557568],[ 18077133.41651138 -19332514.17878664],[-1000. -1000.],"[ 8.22742305e-01 -6.36498264e-01 -5.05660927e-05 -6.36498264e-01
  2.41010825e+00 -1.53382838e-05 -5.05660927e-05 -1.53382838e-05
  1.83012506e-02]",[ 0.41936239 -0.85970455 -0.85970455  2.26361421],[ 0.42647558 -0.86148092 -0.86148092  2.25936555],[-1000.     0. -1000.     0.]
[-2.31859878e+08  7.39232729e+08  5.87761072e+08],[-16329194.29578763  41440112.78372858],[ 21196586.9909494 -22587551.5515109],[-1000. -1000.],"[ 8.61661992e-01 -6.67128536e-01 -4.49984459e-05 -6.67128536e-01
  2.36771737e+00 -5.53080455e-06 -4.49984459e-05 -5.53080455e-06
  1.83012439e-02]",[ 0.4193553  -0.85968658 -0.85968658  2.26356861],[ 0.42646792 -0.86147239 -0.86147239  2.25935578],[-1000.     0. -1000.     0.]
[-2.18975457e+08  9.10849645e+08  7.11566151e+08],[-18963459.56633763  48124865.35823186],[ 22576944.23767866 -25225571.82894098],[-1000. -1000.],"[ 8.95883076e-01 -7.01166559e-01 -6.54374468e-06 -7.01166559e-01
  2.33471050e+00  8.19287239e-06 -6.54374468e-06  8.19287239e-06
  1.83012533e-02]",[ 0.41934607 -0.85966313 -0.85966313  2.26350909],[ 0.426467   -0.86147052 -0.86147052  2.25935143],[-1000.     0. -1000.     0.]
[-2.32934722e+08  1.10581527e+09  8.59285948e+08],[-22824824.67919447  57928348.0237454 ],[ 22085508.94961954 -27225118.88996731],[-1000. -1000.],"[ 9.32048380e-01 -7.28845339e-01 -5.60668863e-05 -7.28845339e-01
  2.31421296e+00 -9.03630699e-06 -5.60668863e-05 -9.03630699e-06
  1.83012658e-02]",[ 0.41933498 -0.85963497 -0.85963497  2.26343759],[ 0.42646678 -0.86147107 -0.86147107  2.25934974],[-1000.     0. -1000.     0.]
[-3.04314213e+08  1.32772795e+09  1.03440680e+09],[-28074913.65742581  71261193.39015187],[ 20319180.66433023 -28965497.37878978],[-1000. -1000.],"[ 9.76463287e-01 -7.40281850e-01 -5.09031197e-05 -7.40281850e-01
  2.30588061e+00  1.39411924e-06 -5.09031197e-05  1.39411924e-06
  1.83012484e-02]",[ 0.41932288 -0.85960424 -0.85960424  2.26335955],[ 0.42646582 -0.86147199 -0.86147199  2.25934887],[-1000.     0. -1000.     0.]
[-4.86669274e+08  1.56966715e+09  1.24273225e+09],[-34642217.86434851  87940900.77586046],[ 18833900.16601316 -31356106.29047682],[-1000. -1000.],"[ 1.02096748e+00 -7.28897246e-01 -3.48236875e-05 -7.28897246e-01
  2.30871920e+00 -1.87143913e-05 -3.48236875e-05 -1.87143913e-05
  1.83012522e-02]",[ 0.41931102 -0.85957413 -0.85957413  2.26328309],[ 0.42646541 -0.86147267 -0.86147267  2.25934775],[-1000.     0. -1000.     0.]
[-8.49135532e+08  1.81023443e+09  1.49699166e+09],[-4.22737987e+07  1.07322819e+08],[ 20798515.12771415 -36222088.07004491],[-1000. -1000.],"[ 1.02662419e+00 -6.91972767e-01  3.82768807e-05 -6.91972767e-01
  2.32732491e+00  1.31765844e-05  3.82768807e-05  1.31765844e-05
  1.83012686e-02]",[ 0.41930093 -0.8595485  -0.8595485   2.26321797],[ 0.42646475 -0.86147125 -0.86147125  2.25934456],[-1000.     0. -1000.     0.]
[-1.45324955e+09  1.98516883e+09  1.82217344e+09],[-5.02743323e+07  1.27636450e+08],[ 31824090.62899531 -46709938.80150925],[-1000. -1000.],"[ 9.30587129e-01 -6.52880818e-01  3.20716110e-05 -6.52880818e-01
  2.36684918e+00  9.23715315e-06  3.20716110e-05  9.23715315e-06
  1.83012650e-02]",[ 0.41929387 -0.85953058 -0.85953058  2.26317248],[ 0.42645307 -0.86146052 -0.86146052  2.25933468],[-1000.     0. -1000.     0.]
[-2.24242772e+09  2.04302262e+09  2.25493227e+09],[-5.72953593e+07  1.45448975e+08],[ 60122138.33530727 -67272785.26892558],[-1000. -1000.],"[ 7.59101905e-01 -6.50995548e-01 -1.32194722e-06 -6.50995548e-01
  2.41669408e+00  6.25746066e-06 -1.32194722e-06  6.25746066e-06
  1.83012630e-02]",[ 0.41929032 -0.85952156 -0.85952156  2.26314961],[ 0.42640581 -0.86142675 -0.86142675  2.25931053],[-1000.     0. -1000.     0.]
[-3.11568299e+09  1.99692119e+09  2.80853252e+09],[-6.09921035e+07  1.54793772e+08],[ 1.12309750e+08 -1.01297756e+08],[-1000. -1000.],"[ 6.27225179e-01 -6.74835281e-01 -3.76381630e-05 -6.74835281e-01
  2.46337505e+00 -4.82490070e-05 -3.76381630e-05 -4.82490070e-05
  1.83012666e-02]",[ 0.41928944 -0.85951934 -0.85951934  2.26314398],[ 0.42630589 -0.8613622  -0.8613622   2.25926881],[-1000.     0. -1000.     0.]
[-4.01487015e+09  1.94774071e+09  3.47146843e+09],[-5.90231927e+07  1.49714961e+08],[ 1.90898255e+08 -1.49913290e+08],[-1000. -1000.],"[ 5.53433118e-01 -6.99278116e-01  1.87993720e-05 -6.99278116e-01
  2.50821295e+00  3.38153657e-05  1.87993720e-05  3.38153657e-05
  1.83012692e-02]",[ 0.41928869 -0.85951743 -0.85951743  2.26313909],[ 0.42616047 -0.86127276 -0.86127276  2.25921378],[-1000.     0. -1000.     0.]
[-4.97803503e+09  1.95273175e+09  4.24063505e+09],[-5.01410645e+07  1.27040714e+08],[ 2.95317338e+08 -2.12743185e+08],[-1000. -1000.],"[ 5.16317317e-01 -7.15247547e-01  1.39172811e-05 -7.15247547e-01
  2.55485688e+00  5.38705940e-05  1.39172811e-05  5.38705940e-05
  1.83012514e-02]",[ 0.41928619 -0.85951105 -0.85951105  2.26312282],[ 0.42598963 -0.86117033 -0.86117033  2.25915237],[-1000.     0. -1000.     0.]
[-6.07095290e+09  1.99594342e+09  5.13715448e+09],[-34399630.10236923  86909124.63466118],[ 4.25226255e+08 -2.89692657e+08],[-1000. -1000.],"[ 4.97424988e-01 -7.23639856e-01 -1.22544189e-05 -7.23639856e-01
  2.60348203e+00 -3.25699204e-05 -1.22544189e-05 -3.25699204e-05
  1.83012688e-02]",[ 0.4192818  -0.85949987 -0.85949987  2.26309433],[ 0.42580874 -0.86106344 -0.86106344  2.2590892 ],[-1000.     0. -1000.     0.]
[-7.32101744e+09  2.17284743e+09  6.19981430e+09],[-12030819.25835583  29909099.31426087],[ 5.81935371e+08 -3.81609942e+08],[-1000. -1000.],"[ 4.87043311e-01 -7.27320550e-01  5.55862166e-06 -7.27320550e-01
  2.65285042e+00  3.95877204e-05  5.55862166e-06  3.95877204e-05
  1.83012617e-02]",[ 0.41927609 -0.85948532 -0.85948532  2.26305726],[ 0.42562688 -0.86095694 -0.86095694  2.25902684],[-1000.     0. -1000.     0.]
[-8.79128782e+09  2.43851621e+09  7.46367031e+09],[ 16926890.60667844 -43862818.14619061],[ 7.66896977e+08 -4.89552445e+08],[-1000. -1000.],"[ 4.83122877e-01 -7.24601045e-01 -1.05205916e-06 -7.24601045e-01
  2.70250583e+00 -3.20486190e-05 -1.05205916e-06 -3.20486190e-05
  1.83012587e-02]",[ 0.41926969 -0.859469   -0.859469    2.26301567],[ 0.4254501  -0.86085386 -0.86085386  2.25896673],[-1000.     0. -1000.     0.]
[-1.05232291e+10  2.86335677e+09  8.97295524e+09],[ 5.23680740e+07 -1.34141804e+08],[ 9.83244243e+08 -6.15485377e+08],[-1000. -1000.],"[ 4.82622083e-01 -7.17659888e-01  1.28360462e-05 -7.17659888e-01
  2.75143020e+00 -2.82525736e-06  1.28360462e-05 -2.82525736e-06
  1.83012437e-02]",[ 0.41926312 -0.85945226 -0.85945226  2.26297305],[ 0.42528117 -0.86075558 -0.86075558  2.25890955],[-1000.     0. -1000.     0.]
[-1.25712365e+10  3.50339698e+09  1.07828627e+10],[ 9.45779441e+07 -2.41656793e+08],[ 1.23449818e+09 -7.61681659e+08],[-1000. -1000.],"[ 4.85293471e-01 -7.06010401e-01  1.84993811e-05 -7.06010401e-01
  2.79852719e+00  1.92242808e-05  1.84993811e-05  1.92242808e-05
  1.83012459e-02]",[ 0.41925671 -0.85943594 -0.85943594  2.26293148],[ 0.42512198 -0.86066295 -0.86066295  2.25885565],[-1000.     0. -1000.     0.]
[-1.50615517e+10  4.23494890e+09  1.29618602e+10],[ 1.43773663e+08 -3.66964839e+08],[ 1.52583381e+09 -9.31443203e+08],[-1000. -1000.],"[ 4.90890697e-01 -6.89927791e-01 -1.10027951e-05 -6.89927791e-01
  2.84267073e+00 -4.09875539e-05 -1.10027951e-05 -4.09875539e-05
  1.83012681e-02]",[ 0.41925072 -0.85942068 -0.85942068  2.26289262],[ 0.42497299 -0.8605761  -0.8605761   2.25880503],[-1000.     0. -1000.     0.]
[-1.80757659e+10  5.12272142e+09  1.55913801e+10],[ 2.00280962e+08 -5.10900702e+08],[ 1.86495475e+09 -1.12929345e+09],[-1000. -1000.],"[ 4.96904645e-01 -6.73289150e-01 -3.72240468e-06 -6.73289150e-01
  2.88629171e+00  2.11099792e-05 -3.72240468e-06  2.11099792e-05
  1.83012556e-02]",[ 0.41924524 -0.85940673 -0.85940673  2.26285706],[ 0.42483359 -0.86049475 -0.86049475  2.25875755],[-1000.     0. -1000.     0.]
[-2.17333929e+10  6.04528943e+09  1.87504832e+10],[ 2.65322707e+08 -6.76579844e+08],[ 2.26025386e+09 -1.36013864e+09],[-1000. -1000.],"[ 5.02860793e-01 -6.56801447e-01  2.05465511e-05 -6.56801447e-01
  2.92992080e+00  3.85246293e-05  2.05465511e-05  3.85246293e-05
  1.83012596e-02]",[ 0.4192402  -0.85939388 -0.85939388  2.26282433],[ 0.4247026  -0.86041824 -0.86041824  2.25871286],[-1000.     0. -1000.     0.]
[-2.62875867e+10  6.69239984e+09  2.25420624e+10],[ 3.40780753e+08 -8.68796061e+08],[ 2.72522469e+09 -1.63154929e+09],[-1000. -1000.],"[ 5.06671642e-01 -6.43437047e-01  2.22606195e-05 -6.43437047e-01
  2.97574189e+00  5.18690413e-05  2.22606195e-05  5.18690413e-05
  1.83012644e-02]",[ 0.41923549 -0.85938188 -0.85938188  2.26279378],[ 0.42457799 -0.8603455  -0.8603455   2.2586704 ],[-1000.     0. -1000.     0.]
[-3.21505031e+10  6.10847986e+09  2.71066316e+10],[ 4.29751526e+08 -1.09543147e+09],[ 3.28168585e+09 -1.95510375e+09],[-1000. -1000.],"[ 5.03917759e-01 -6.40412892e-01  2.14136371e-05 -6.40412892e-01
  3.02519210e+00  3.76809148e-05  2.14136371e-05  3.76809148e-05
  1.83012546e-02]",[ 0.4192309  -0.85937019 -0.85937019  2.262764  ],[ 0.42445598 -0.86027459 -0.86027459  2.25862919],[-1000.     0. -1000.     0.]
[-3.98904530e+10  2.24434897e+09  3.26616053e+10],[ 5.39217101e+08 -1.37425083e+09],[ 3.97138499e+09 -2.35168685e+09],[-1000. -1000.],"[ 4.86227121e-01 -6.68014773e-01  1.37691628e-05 -6.68014773e-01
  3.06376668e+00  5.72688942e-05  1.37691628e-05  5.72688942e-05
  1.83012690e-02]",[ 0.41922598 -0.85935766 -0.85935766  2.26273207],[ 0.42432968 -0.86020211 -0.86020211  2.2585876 ],[-1000.     0. -1000.     0.]
[-4.94491123e+10 -8.29159991e+09  3.96834446e+10],[ 6.84823441e+08 -1.74504715e+09],[ 4.87051432e+09 -2.85711538e+09],[-1000. -1000.],"[ 4.53049412e-01 -7.59473773e-01  5.83912978e-06 -7.59473773e-01
  3.01319951e+00  6.96375728e-05  5.83912978e-06  6.96375728e-05
  1.83012698e-02]",[ 0.41921985 -0.85934207 -0.85934207  2.26269238],[ 0.42418867 -0.86012316 -0.86012316  2.25854339],[-1000.     0. -1000.     0.]
[-5.87097505e+10 -2.59028299e+10  4.92552249e+10],[ 9.00620767e+08 -2.29440289e+09],[ 6.08537343e+09 -3.51620513e+09],[-1000. -1000.],"[ 4.40689126e-01 -8.85822280e-01 -4.81787378e-06 -8.85822280e-01
  2.80709798e+00  5.70669067e-05 -4.81787378e-06  5.70669067e-05
  1.83012697e-02]",[ 0.41921097 -0.85931945 -0.85931945  2.26263482],[ 0.42402621 -0.86003548 -0.86003548  2.25849605],[-1000.     0. -1000.     0.]
[-6.62371132e+10 -4.70207236e+10  6.20933961e+10],[ 1.24561589e+09 -3.17232054e+09],[ 7.66388317e+09 -4.34035279e+09],[-1000. -1000.],"[ 4.67667601e-01 -9.58720166e-01  1.54533035e-05 -9.58720166e-01
  2.62563208e+00 -1.63196450e-05  1.54533035e-05 -1.63196450e-05
  1.83012525e-02]",[ 0.41919667 -0.85928307 -0.85928307  2.26254224],[ 0.42385573 -0.85994694 -0.85994694  2.25845005],[-1000.     0. -1000.     0.]
[-7.34607300e+10 -6.90652485e+10  7.75196818e+10],[ 1.76685299e+09 -4.49833878e+09],[ 9.57376437e+09 -5.30582130e+09],[-1000. -1000.],"[ 5.09096142e-01 -9.93227685e-01  1.50156390e-05 -9.93227685e-01
  2.53396226e+00 -7.40956278e-06  1.50156390e-05 -7.40956278e-06
  1.83012535e-02]",[ 0.41917662 -0.85923208 -0.85923208  2.26241253],[ 0.42369588 -0.85986653 -0.85986653  2.2584096 ],[-1000.     0. -1000.     0.]
[-8.28766350e+10 -9.14420277e+10  9.52272510e+10],[ 2.47006692e+09 -6.28697470e+09],[ 1.17848579e+10 -6.39663720e+09],[-1000. -1000.],"[ 5.52986388e-01 -1.01605763e+00 -3.68353100e-05 -1.01605763e+00
  2.49315354e+00  3.36763447e-05 -3.68353100e-05  3.36763447e-05
  1.83012586e-02]",[ 0.41915386 -0.85917418 -0.85917418  2.26226526],[ 0.42355295 -0.85979631 -0.85979631  2.2583751 ],[-1000.     0. -1000.     0.]
[-9.65219735e+10 -1.14377069e+11  1.15679803e+11],[ 3.34364329e+09 -8.50868130e+09],[ 1.43052411e+10 -7.62004053e+09],[-1000. -1000.],"[ 5.95182217e-01 -1.03733544e+00 -4.95780853e-05 -1.03733544e+00
  2.48039012e+00  4.21150804e-05 -4.95780853e-05  4.21150804e-05
  1.83012600e-02]",[ 0.41913076 -0.85911545 -0.85911545  2.2621159 ],[ 0.42342491 -0.85973435 -0.85973435  2.25834512],[-1000.     0. -1000.     0.]
[-1.16473214e+11 -1.37999491e+11  1.39723436e+11],[ 4.38505931e+09 -1.11570705e+10],[ 1.71856434e+10 -9.00648763e+09],[-1000. -1000.],"[ 6.32491871e-01 -1.06032422e+00 -3.92338049e-05 -1.06032422e+00
  2.48625058e+00  2.14464753e-05 -3.92338049e-05  2.14464753e-05
  1.83012448e-02]",[ 0.41910839 -0.85905855 -0.85905855  2.26197122],[ 0.42330735 -0.85967787 -0.85967787  2.25831798],[-1000.     0. -1000.     0.]
[-1.44327044e+11 -1.62129435e+11  1.68310305e+11],[ 5.59879864e+09 -1.42435930e+10],[ 2.05078269e+10 -1.06038871e+10],[-1000. -1000.],"[ 6.60836156e-01 -1.08508767e+00  2.50774224e-05 -1.08508767e+00
  2.50718692e+00 -1.49313304e-05  2.50774224e-05 -1.49313304e-05
  1.83012604e-02]",[ 0.41908707 -0.85900434 -0.85900434  2.26183335],[ 0.42319574 -0.85962422 -0.85962422  2.25829219],[-1000.     0. -1000.     0.]
[-1.84687454e+11 -1.83585827e+11  2.02596704e+11],[ 7.00392988e+09 -1.78168086e+10],[ 2.43764443e+10 -1.24739888e+10],[-1000. -1000.],"[ 6.75245241e-01 -1.10889178e+00  4.01805505e-06 -1.10889178e+00
  2.54104884e+00  1.53228123e-05  4.01805505e-06  1.53228123e-05
  1.83012426e-02]",[ 0.41906689 -0.858953   -0.858953    2.2617028 ],[ 0.42308719 -0.8595717  -0.8595717   2.25826678],[-1000.     0. -1000.     0.]
[-2.42089324e+11 -1.98497017e+11  2.44464775e+11],[ 8.62312317e+09 -2.19344600e+10],[ 2.89545520e+10 -1.47158778e+10],[-1000. -1000.],"[ 6.65552841e-01 -1.12422115e+00  1.37850836e-06 -1.12422115e+00
  2.58711237e+00 -2.03267639e-05  1.37850836e-06 -2.03267639e-05
  1.83012465e-02]",[ 0.41904787 -0.85890463 -0.85890463  2.2615798 ],[ 0.42297813 -0.85951818 -0.85951818  2.25824052],[-1000.     0. -1000.     0.]
[-3.20059490e+11 -2.00169208e+11  2.96360032e+11],[ 1.04702858e+10 -2.66320789e+10],[ 3.44468192e+10 -1.74605904e+10],[-1000. -1000.],"[ 6.25467258e-01 -1.11814195e+00  1.10374850e-05 -1.11814195e+00
  2.63657654e+00 -3.91978982e-05  1.10374850e-05 -3.91978982e-05
  1.83012417e-02]",[ 0.41903031 -0.85885999 -0.85885999  2.26146627],[ 0.42286692 -0.8594625  -0.8594625   2.25821264],[-1000.     0. -1000.     0.]
[-4.21321917e+11 -1.77323816e+11  3.61154948e+11],[ 1.25575356e+10 -3.19407404e+10],[ 4.10773119e+10 -2.08637047e+10],[-1000. -1000.],"[ 5.62542094e-01 -1.08069960e+00 -1.80533562e-05 -1.08069960e+00
  2.67388850e+00  3.98621240e-05 -1.80533562e-05  3.98621240e-05
  1.83012675e-02]",[ 0.41901481 -0.85882056 -0.85882056  2.26136597],[ 0.42275559 -0.85940536 -0.85940536  2.25818331],[-1000.     0. -1000.     0.]
[-5.41241406e+11 -1.27814770e+11  4.43159462e+11],[ 1.48818938e+10 -3.78532611e+10],[ 4.91237768e+10 -2.51267820e+10],[-1000. -1000.],"[ 4.98223826e-01 -1.01492755e+00 -1.50686386e-05 -1.01492755e+00
  2.68549947e+00  2.67854404e-05 -1.50686386e-05  2.67854404e-05
  1.83012635e-02]",[ 0.41900205 -0.85878809 -0.85878809  2.26128338],[ 0.42264853 -0.85934876 -0.85934876  2.25815339],[-1000.     0. -1000.     0.]
[-6.73544152e+11 -6.22095275e+10  5.45563417e+11],[ 1.73997828e+10 -4.42593664e+10],[ 5.87709363e+10 -3.04031415e+10],[-1000. -1000.],"[ 4.57143622e-01 -9.45402537e-01  3.40265563e-06 -9.45402537e-01
  2.68139879e+00 -5.67128839e-05  3.40265563e-06 -5.67128839e-05
  1.83012637e-02]",[ 0.41899245 -0.85876367 -0.85876367  2.26122124],[ 0.42255154 -0.85929591 -0.85929591  2.25812458],[-1000.     0. -1000.     0.]
[-8.20845200e+11  2.09791069e+10  6.68805439e+11],[ 2.00447204e+10 -5.09905104e+10],[ 7.00638710e+10 -3.67542887e+10],[-1000. -1000.],"[ 4.40769774e-01 -8.88457262e-01 -1.79061078e-06 -8.88457262e-01
  2.68135105e+00  3.07434830e-05 -1.79061078e-06  3.07434830e-05
  1.83012696e-02]",[ 0.41898573 -0.85874658 -0.85874658  2.26117774],[ 0.42246702 -0.85924854 -0.85924854  2.25809804],[-1000.     0. -1000.     0.]
[-9.87747259e+11  1.16392794e+11  8.15638330e+11],[ 2.27456456e+10 -5.78663029e+10],[ 8.30413227e+10 -4.42338918e+10],[-1000. -1000.],"[ 4.39336593e-01 -8.41240481e-01  1.46656383e-05 -8.41240481e-01
  2.68650606e+00  3.72472632e-05  1.46656383e-05  3.72472632e-05
  1.83012478e-02]",[ 0.41898122 -0.85873508 -0.85873508  2.26114848],[ 0.4223942  -0.85920669 -0.85920669  2.25807399],[-1000.     0. -1000.     0.]
[-1.18584718e+12  2.13281002e+11  9.90933523e+11],[ 2.54514781e+10 -6.47571704e+10],[ 9.78747170e+10 -5.29582346e+10],[-1000. -1000.],"[ 4.46241936e-01 -8.01915389e-01 -1.46552095e-05 -8.01915389e-01
  2.69868464e+00 -1.73543554e-05 -1.46552095e-05 -1.73543554e-05
  1.83012471e-02]",[ 0.41897825 -0.85872753 -0.85872753  2.26112925],[ 0.42233122 -0.85916973 -0.85916973  2.2580523 ],[-1000.     0. -1000.     0.]
[-1.42224011e+12  3.14535129e+11  1.19943509e+12],[ 2.81377825e+10 -7.16011666e+10],[ 1.14819681e+11 -6.30739748e+10],[-1000. -1000.],"[ 4.56438279e-01 -7.69680188e-01  1.73478821e-05 -7.69680188e-01
  2.72084658e+00  3.42219479e-05  1.73478821e-05  3.42219479e-05
  1.83012546e-02]",[ 0.41897627 -0.85872249 -0.85872249  2.2611164 ],[ 0.4222755  -0.85913652 -0.85913652  2.2580325 ],[-1000.     0. -1000.     0.]
[-1.71368760e+12  4.10837776e+11  1.44877914e+12],[ 3.08800727e+10 -7.85906105e+10],[ 1.34342128e+11 -7.48454603e+10],[-1000. -1000.],"[ 4.66976077e-01 -7.42684911e-01  2.42531824e-06 -7.42684911e-01
  2.75082570e+00  4.02645917e-05  2.42531824e-06  4.02645917e-05
  1.83012600e-02]",[ 0.41897487 -0.8587189  -0.8587189   2.26110726],[ 0.42222497 -0.85910608 -0.85910608  2.25801417],[-1000.     0. -1000.     0.]
[-2.07652313e+12  4.74664315e+11  1.74757855e+12],[ 3.37652293e+10 -8.59466498e+10],[ 1.57044770e+11 -8.85898305e+10],[-1000. -1000.],"[ 4.75117548e-01 -7.21851262e-01  1.60005210e-05 -7.21851262e-01
  2.78912131e+00  1.11469045e-05  1.60005210e-05  1.11469045e-05
  1.83012461e-02]",[ 0.41897377 -0.85871611 -0.85871611  2.26110014],[ 0.42217762 -0.85907743 -0.85907743  2.25799683],[-1000.     0. -1000.     0.]
[-2.54161680e+12  4.44735127e+11  2.10600246e+12],[ 3.70012449e+10 -9.41985182e+10],[ 1.83936582e+11 -1.04798430e+11],[-1000. -1000.],"[ 4.77098182e-01 -7.11839534e-01  6.66727204e-06 -7.11839534e-01
  2.83602722e+00 -2.36688716e-05  6.66727204e-06 -2.36688716e-05
  1.83012454e-02]",[ 0.41897278 -0.85871359 -0.85871359  2.26109371],[ 0.42213111 -0.8590494  -0.8590494   2.25797994],[-1000.     0. -1000.     0.]
[-3.14402631e+12  1.90456163e+11  2.54127101e+12],[ 4.09963164e+10 -1.04384272e+11],[ 2.16672943e+11 -1.24200917e+11],[-1000. -1000.],"[ 4.68025430e-01 -7.24930767e-01  2.35041580e-07 -7.24930767e-01
  2.88255765e+00 -5.17608183e-05  2.35041580e-07 -5.17608183e-05
  1.83012510e-02]",[ 0.41897166 -0.85871072 -0.85871072  2.2610864 ],[ 0.42208224 -0.85902042 -0.85902042  2.25796274],[-1000.     0. -1000.     0.]
[-3.88123784e+12 -4.72960607e+11  3.08530949e+12],[ 4.65993960e+10 -1.18662239e+11],[ 2.58209674e+11 -1.48015607e+11],[-1000. -1000.],"[ 4.48189684e-01 -7.81620464e-01  8.28158956e-06 -7.81620464e-01
  2.88642631e+00 -1.06903046e-05  8.28158956e-06 -1.06903046e-05
  1.83012546e-02]",[ 0.41897001 -0.85870652 -0.85870652  2.26107569],[ 0.42202673 -0.85898848 -0.85898848  2.25794437],[-1000.     0. -1000.     0.]
[-4.64789589e+12 -1.68636742e+12  3.79962884e+12],[ 5.55171325e+10 -1.41370752e+11],[ 3.13159452e+11 -1.78041940e+11],[-1000. -1000.],"[ 4.38919669e-01 -8.74272824e-01  1.06675941e-05 -8.74272824e-01
  2.79158964e+00 -2.03811735e-05  1.06675941e-05 -2.03811735e-05
  1.83012535e-02]",[ 0.41896718 -0.85869932 -0.85869932  2.26105735],[ 0.42196201 -0.85895285 -0.85895285  2.25792476],[-1000.     0. -1000.     0.]
[-5.29527567e+12 -3.34821703e+12  4.75698302e+12],[ 7.06574167e+10 -1.79901170e+11],[ 3.86115855e+11 -2.15833997e+11],[-1000. -1000.],"[ 4.60287724e-01 -9.48653009e-01  2.54155811e-05 -9.48653009e-01
  2.64833885e+00 -6.78202902e-05  2.54155811e-05 -6.78202902e-05
  1.83012656e-02]",[ 0.41896216 -0.85868655 -0.85868655  2.26102486],[ 0.42189144 -0.85891597 -0.85891597  2.25790547],[-1000.     0. -1000.     0.]
[-5.85811483e+12 -5.19439893e+12  5.96824068e+12],[ 9.54654139e+10 -2.43009192e+11],[ 4.78674876e+11 -2.61535685e+11],[-1000. -1000.],"[ 5.00458371e-01 -9.87432993e-01 -2.96075772e-05 -9.87432993e-01
  2.54449929e+00  3.41821044e-05 -2.96075772e-05  3.41821044e-05
  1.83012539e-02]",[ 0.41895407 -0.85866598 -0.85866598  2.26097253],[ 0.42182216 -0.85888151 -0.85888151  2.25788833],[-1000.     0. -1000.     0.]
[-6.40171358e+12 -7.24508884e+12  7.39421140e+12],[ 1.31949424e+11 -3.35796794e+11],[ 5.89878345e+11 -3.14360087e+11],[-1000. -1000.],"[ 5.45938009e-01 -1.00921816e+00 -6.28307849e-06 -1.00921816e+00
  2.48774560e+00 -4.95529163e-06 -6.28307849e-06 -4.95529163e-06
  1.83012578e-02]",[ 0.41894343 -0.8586389  -0.8586389   2.26090366],[ 0.42175859 -0.85885115 -0.85885115  2.25787383],[-1000.     0. -1000.     0.]
